title,runtime,des,date,genre,cast,director,vote,gross,rating
The Age of Adaline,112,"    A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.",2015,"Drama, Fantasy, Romance            ","Blake Lively, Michiel Huisman, Harrison Ford, Kathy Baker",Lee Toland Krieger,144219,$42.48M,7.2
Carol,118,    An aspiring photographer develops an intimate relationship with an older woman in 1950s New York.,2015,"Drama, Romance            ","Cate Blanchett, Rooney Mara, Sarah Paulson, Kyle Chandler",Todd Haynes,105608,$12.71M,7.2
How To Talk To Girls at Parties,102,    An alien touring the galaxy breaks away from her group and meets two young inhabitants of the most dangerous place in the universe: the London suburb of Croydon.,2017,"Comedy, Music, Romance            ","Elle Fanning, Alex Sharp, Nicole Kidman, Matt Lucas",John Cameron Mitchell,8333,$0.08M,5.7
Border,110,    A customs officer who can smell fear develops an unusual attraction to a strange traveler while aiding a police investigation which will call into question her entire existence.,2018,"Crime, Drama, Fantasy            ","Eva Melander, Eero Milonoff, Jörgen Thorsson, Ann Petrén",Ali Abbasi,17818,$0.77M,7.0
Below Her Mouth,94,    An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.,2016,"Drama, Romance            ","Erika Linder, Natalie Krill, Sebastian Pigott, Mayko Nguyen",April Mullen,8583,,5.5
Bridget Jones's Baby,123,"    Bridget's focus on single life and her career is interrupted when she finds herself pregnant, but with one hitch ... she can only be fifty percent sure of the identity of her baby's father.",2016,"Comedy, Drama, Romance            ","Renée Zellweger, Gemma Jones, Jim Broadbent, Sally Phillips",Sharon Maguire,63251,$24.25M,6.5
Mike and Dave Need Wedding Dates,98,"    Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",2016,"Comedy, Romance            ","Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza",Jake Szymanski,77743,$46.01M,6.0
Love & Other Drugs,112,    A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh.,2010,"Comedy, Drama, Romance            ","Jake Gyllenhaal, Anne Hathaway, Judy Greer, Oliver Platt",Edward Zwick,171714,$32.37M,6.7
Sunshine on Leith,100,    Two soldiers return home to Edinburgh to resume their romantic and family lives.,2013,"Comedy, Drama, Musical            ","Paul Brannigan, George MacKay, Kevin Guthrie, Jane Horrocks",Dexter Fletcher,5776,,6.6
The White Queen,60,"    Three different, yet equally relentless women vie for the throne in 15th Century England.",2013,"Drama, History, Romance            ","Aneurin Barnard, Rebecca Ferguson, Amanda Hale, Faye Marsay",,21671,,7.8
Station 19,60,"    This spinoff of the critically acclaimed show Grey's Anatomy follows the lives of the men and women of firehouse station 19 in Seattle, Washington.",2018,"Action, Drama, Romance            ","Jaina Lee Ortiz, Grey Damon, Barrett Doss, Jay Hayden",,5666,,6.4
Sleeping Beauty,101,"    A haunting portrait of Lucy, a young university student drawn into a mysterious hidden world of unspoken desires.",2011,"Drama, Romance, Thriller            ","Emily Browning, Rachael Blake, Ewen Leslie, Bridgette Barrett",Julia Leigh,29844,$0.04M,5.3
Little Italy,102,"    A young couple must navigate a blossoming romance, amidst a war between their families' competing pizza restaurants.",2018,"Comedy, Romance            ","Emma Roberts, Hayden Christensen, Danny Aiello, Andrea Martin",Donald Petrie,7807,$0.99M,5.7
The Secret Life of Walter Mitty,114,"    When his job along with that of his co-worker are threatened, Walter takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.",2013,"Comedy, Drama, Fantasy            ","Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn",Ben Stiller,281414,$58.24M,7.3
You're the Worst,30,"    Centers on two toxic, self-destructive people who fall in love and attempt a relationship.",2019,"Comedy, Drama, Romance            ","Chris Geere, Aya Cash, Desmin Borges, Kether Donohue",,21758,,8.1
Versailles,52,"    In 1667, 28-year-old all-powerful king of France, Louis XIV, decides to build the greatest palace in the world - Versailles. But drained budget, affairs and political intrigues complicate things.",2018,"Biography, Drama, History            ","George Blagden, Alexander Vlahos, Tygh Runyan, Stuart Bowman",,11894,,7.9
