title,runtime,des,date,rating,genre
Moonrise Kingdom,94,"    A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",2012,7.8,"Comedy, Drama, Romance            "
Crazy Ex-Girlfriend,42,"    A young woman abandons a choice job at a law firm and her life in New York in an attempt to find happiness in the unlikely locale of West Covina, California.",2019,7.7,"Comedy, Musical            "
Eighth Grade,93,    An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.,2018,7.4,"Comedy, Drama            "
Sam & Cat,30,    A pair of roommates start a baby-sitting service to earn extra cash.,2014,5.7,"Comedy, Drama, Family            "
Jessie,30,    A Texan teen moves to New York City to follow her dreams and ends up as a nanny for a high profile couple's four children.,2015,5.8,"Comedy, Family            "
Finding Dory,97,"    Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",2016,7.3,"Animation, Adventure, Comedy            "
Unbreakable Kimmy Schmidt,30,    A woman is rescued from a doomsday cult and starts life over again in New York City.,2019,7.7,"Comedy, Drama            "
Can You Ever Forgive Me?,106,"    When Lee Israel falls out of step with current tastes, she turns her art form to deception.",2018,7.1,"Biography, Comedy, Crime            "
Future Man,30,"    Josh Futturman, a janitor by day and a gamer by night, is recruited by mysterious visitors to travel through time to prevent the extinction of humanity.",2017,7.8,"Action, Adventure, Comedy            "
Cars 3,102,    Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,2017,6.7,"Animation, Adventure, Comedy            "
Happy!,60,    An injured hitman befriends his kidnapped daughter's imaginary friend - a perky blue flying unicorn.,2019,8.3,"Action, Comedy, Crime            "
Despicable Me 3,89,"    Gru meets his long-lost charming, cheerful, and more successful twin brother Dru who wants to team up with him for one last criminal heist.",2017,6.3,"Animation, Adventure, Comedy            "
