title,runtime,des,date,genre,cast,director,vote,gross,rating
Born Into Mafia 2,67,"Jack is a divorced, ex CIA agent, living in his disabled father's home (Jeff the Drunk from the Howard Stern Show), His daughter Sharon, wants to become an actress and needs her father's signature permission to fly to Hollywood for Black Casting Couch Auditions, where she eventually gets kidnapped by ISIS. They Kidnapped the Wrong Daughter, as her father Jack, possesses a particular set of skills.",2016,"Action, Adventure, Comedy            ","Milos Momcilovic, Martina Medona, Claudia Blum, Sandy Kaye",George Anton,13,,4.1
The Most Dangerous Man,0,"    Sgt. Max Gunn, retired leader of a black-ops commando unit, is reinstated to lead a team of elite specialists deep behind the Iron Curtain in order to track down his mentor and traitor to America, John Lyman.",2018,Action            ,"Paul Logan, Rodney Feaster, Lisa Monde, Dave Morrissey Jr.",Ronnie Champaign,0,,0.0
Groove Street,90,"Old meets new when a dance instructor takes on a group of kids from the streets. They have a new style of dance but need the old school technique. Caught up in a world of drug lords and thugs, it is difficult for the young dancers to not be sucked back in to their former lifestyle. If they can rise to the challenge it will be an Evolution.",2018,Action            ,"Claudia Wells, Ryan Ochoa, Michael Chambers, Raymond Ochoa",Gabriel Koura,0,,0.0
Zordon of Eltar,50,    How Zordon became what he is and how he obtained the power coins as well as hidden secrets that have changed the lives of humanity forever.,2015,"Action, Fantasy, Sci-Fi            ","Gene Rush, Cisco Davis Jr., Soni Aralynn, Lyon Beckwith",Cisco Davis Jr.,85,,6.6
Guns of the Apocalypse,88,"In writer/director Christopher R. Mihm's ""post-apocalyptic-spaghetti-Midwestern,"" a man with no name is forced into a world of danger and bloodshed after he saves a scientist and a gifted child from a horde of radiation-scarred mutants. Though he would prefer to stay hidden until he can escape to a new life, something about the child-and the murderous ""Death Dealers"" hunting her-makes him realize he has no choice but to protect her or risk being responsible for the potential extinction of the human race.",2018,"Action, Adventure, Western            ","Tyler Haines, Kira Pontiff, Alice Mihm, Douglas Sidney",Christopher R. Mihm,57,,3.8
Rise of the Phoenix,12,Add a Plot,2015,"Short, Action            ","Sade Kimora Young, Chris Jai Alex, Katherine Castillo, Jordan Debarge",Michael S. Ojeda,0,,0.0
Travelator,99,"    Teenage assassin sets out on a long voyage to gun down a witness under protection program, who luxuriates in the artificial worlds of Las Vegas.",2014,"Action, Crime, Drama            ","Nikola Rakocevic, Boris Isakovic, Khetanya Henderson, Adrian Eli",Dusan Milic,262,,5.1
Angel of Death,0,"Nastja's father Constantine thought he has found the cure to save people from sickness and death but everything has a price in this world. It was a curse that turns people into who they are not - monsters, as we all know vampires. After Constantine realised the truth about the cure he decided to destroy it but he was betrayed by his apprentice Bastian. Blinded by the greed and power Bastian kills Constantine and steals the cure to become a vampire himself. Nastja, daughter of Constantine promised on her father grave to find Bastian and make him suffer for everything he has done. Nastja knew she have no chance against the vampire so she decided to become one herself. But first, she had to die.",2017,"Action, Fantasy, Thriller            ","Katie Wood, Taavi Peelo, Mark Hindman Smith, Paul Cavendish",Taavi Peelo,0,,0.0
30 Seconds to Mars: This Is War,6,    The film features 30 Seconds to Mars as US soldiers deployed to Afghanistan.,2011,"Short, Action, Music            ","Jared Leto, Shannon Leto, Tomo Milicevic, Thirty Seconds to Mars",Edouard Salier,94,,7.8
The Batman Chronicles,35,    A young Bruce Wayne struggles with a corrupt justice department and faces off against a new menace hell-bent on taking over Gotham.,2014,"Short, Action            ","Daniel Petruccio, Anthony Misiano, Gregory Adair, Robert Kabakoff",Joseph Petruccio,200,,6.8
Citizen,0,"Agent Fleur is scared. Her partner is being chased and hunted by men in black suits. Unable to save him, she watches as he is taken down and they insert a mysterious chip into the back of his skull. Even worse, it appears the entire town is controlled by something, some hive-mind computer, turning all the citizens into soldiers against their will. Not only must she find her missing partner in this small mid-American town, but she must learn to work with a cocky, arrogant Agent Dempster who has been sent in to back her up. Will she find Agent Travis before it's too late? Will she figure out what's happening to the citizens of this perfect town and save them from an uncertain fate?",2012,Action            ,"Peter Benson, Tommy Douglas, Emily Fonda, Erica Carroll",,5,,8.0
Sailor Moon the Movie,21,"A sailor princess got killed by a demon for the attempt to steal the sacred powerful goddess crystal 300 hundred years ago. Now the soul of the sailor princess gets recarnated into a half demon and half human, meets a cat from the dimensional portals and become a sailor hero to protect the princess as she enters a secret mission to recover the crystal before it gets into the wrong hands. The story is based on the Japanese anime manga Sailor Moon.",2011,"Short, Action            ","Avery Schiff, Nick Uhas, Kris Woodside, Liv Rose",Elana A. Mugdan,84,,7.5
Zombies Chronicles,0,    8 classic remastered zombies maps from previous Call of Duty games,2017,Action            ,"Steve Blum, Tom Kane, Nolan North, Fred Tatasciore",Jason Blundell,56,,8.8
From Parts Unknown,90,    Budding female pro wrestling champion Charlie is faced with a wrestle-pocalypse of homicidal monsters spawned by a wrestling video game.,2015,"Action, Comedy, Horror            ","Elke Berry, Mick Preston, Jenna Dwyer, Josh Futcher",Daniel Armstrong,92,,4.5
The Fly,7,    An uptight getaway driver waiting outside a bank robbery has three nerve shredding minutes to get through before his crew returns. All he has to do is focus.,2015,"Short, Action, Comedy            ",Jack Doolan,Olly Williams,122,,6.8
The Legend of Zelda: Twilight Princess HD,0,"    When an otherworldly darkness covers the land, a young knight teams up with an imp on a quest to defeat the King of Shadows.",2016,"Action, Adventure, Crime            ","Sayaka Aida, Hiromi Hirata, Akiko Kawamoto, Junji Kitajima",Eiji Aonuma,440,,8.8
Blow,5,    A dodgy short with a twist.,2017,"Short, Action, Comedy            ","Carla Lekkerkerker, Michael Wouters",T. David Carangan,20,,5.5
Teenage Mutant Ninja Turtles: Mutants in Manhattan,0,"    When the Shredder and Krang team up to launch a takeover of Earth, the Turtles must rally to stop their invasion.",2016,"Action, Adventure, Comedy            ","Nolan North, Mick Wingert, Robbie Daymond, Gavin Hammon",Eiro Shirahama,72,,6.1
Worth It,0,    Piper (played by Clare McKay) goes undercover as a sex slave to infiltrate a human trafficking gang in exchange for mitigation of her prison sentence.,2018,"Short, Action, Drama            ","Maria Boas, Andrew Carlisi, Ricky Crum, Sabrine Ferretti",Marielle Cuccinelli,0,,0.0
